document_id,title,abstract,chemical_mesh_ids,disease_mesh_ids,relation_count,chemical_mentions_count,disease_mentions_count
2696505,A randomized comparison of labetalol and nitroprusside for induced hypotension.,"In a randomized study, labetalol-induced hypotension and nitroprusside-induced hypotension were compared in 20 patients (10 in each group) scheduled for major orthopedic procedures. Each patient was subjected to an identical anesthetic protocol and similar drug-induced reductions in mean arterial blood pressure (BP) (50 to 55 mmHg). Nitroprusside infusion was associated with a significant (p less than 0.05) increase in heart rate and cardiac output; rebound hypertension was observed in three pat...",D007741|D009599|C093415,D007022|D006973|D016534,3,9,6
2924746,"Chronic carbamazepine treatment in the rat: efficacy, toxicity, and effect on plasma and tissue folate concentrations.","Folate depletion has often been a problem in chronic antiepileptic drug (AED) therapy. Carbamazepine (CBZ), a commonly used AED, has been implicated in some clinical studies. A rat model was developed to examine the effects of chronic CBZ treatment on folate concentrations in the rat. In the course of developing this model, a common vehicle, propylene glycol, by itself in high doses, was found to exhibit protective properties against induced seizures and inhibited weight gain. Seizures induced b...",D005492|D019946|D005481|D002220,D015430|D064420|D012640,1,17,7
2951327,Inhibition of sympathoadrenal activity by atrial natriuretic factor in dogs.,"In six conscious, trained dogs, maintained on a normal sodium intake of 2 to 4 mEq/kg/day, sympathetic activity was assessed as the release rate of norepinephrine and epinephrine during 15-minute i.v. infusions of human alpha-atrial natriuretic factor. Mean arterial pressure (as a percentage of control +/- SEM) during randomized infusions of 0.03, 0.1, 0.3, or 1.0 microgram/kg/min was 99 +/- 1, 95 +/- 1 (p less than 0.05), 93 +/- 1 (p less than 0.01), or 79 +/- 6% (p less than 0.001), respective...",D004837|D005996|D012964|D009638|D006830,D007022|D013610,2,7,2
3192036,Death from chemotherapy in gestational trophoblastic disease.,"Multiple cytotoxic drug administration is the generally accepted treatment of patients with a high-risk stage of choriocarcinoma. Based on this principle a 27-year old woman, classified as being in the high-risk group (Goldstein and Berkowitz score: 11), was treated with multiple cytotoxic drugs. The multiple drug schema consisted of: Etoposide 16.213, Methotrexate, Cyclophosphamide, Actomycin-D, and Cisplatin. On the first day of the schedule, moderate high doses of Methotrexate, Etoposide and ...",D008727|D003609|D003520|D005047|D002945,D009336|D002822|D011655|D009369|D031901|D010386|D003643|D004617,3,8,12
3409645,Sexual dysfunction among patients with arthritis.,"The relationship of arthritis and sexual dysfunction was investigated among 169 patients with rheumatoid arthritis, osteoarthritis and spondyloarthropathy, 130 of whom were pair-matched to controls. Assessments of marital happiness and depressed mood were also made using the CES-D and the Azrin Marital Happiness Scale (AMHS). Sexual dysfunctions were found to be common among patients and controls, the majority in both groups reporting one or more dysfunctions. Impotence was more common among mal...",D008727,D012735|D001168|D025242|D007172|D003866|D010003|D001172,1,1,14
3412544,Does paracetamol cause urothelial cancer or renal papillary necrosis?,"The risk of developing renal papillary necrosis or cancer of the renal pelvis, ureter or bladder associated with consumption of either phenacetin or paracetamol was calculated from data acquired by questionnaire from 381 cases and 808 controls. The risk of renal papillary necrosis was increased nearly 20-fold by consumption of phenacetin, which also increased the risk for cancer of the renal pelvis and bladder but not for ureteric cancer. By contrast, we were unable to substantiate an increased ...",D000082|D010615,D014523|D007681|D014516|D007680|D007680|D001749|D001749|D009369|D007680|D014516|D001749,3,5,15
3425586,Dapsone-associated Heinz body hemolytic anemia in a Cambodian woman with hemoglobin E trait.,"A Cambodian woman with hemoglobin E trait (AE) and leprosy developed a Heinz body hemolytic anemia while taking a dose of dapsone (50 mg/day) not usually associated with clinical hemolysis. Her red blood cells (RBCs) had increased incubated Heinz body formation, decreased reduced glutathione (GSH), and decreased GSH stability. The pentose phosphate shunt activity of the dapsone-exposed AE RBCs was increased compared to normal RBCs. Although the AE RBCs from an individual not taking dapsone had i...",D005978|D010428|D003622,D006461|D000743|D007918|D007239,1,13,6
3437726,"Severe complications of antianginal drug therapy in a patient identified as a poor metabolizer of metoprolol, propafenone, diltiazem, and sparteine.","A 47-year-old patient suffering from coronary artery disease was admitted to the CCU in shock with III. AV block, severe hypotension, and impairment of ventricular function. One week prior to admission a therapy with standard doses of metoprolol (100 mg t.i.d. and then 100 mg b.i.d.) had been initiated. Two days before admission diltiazem (60 mg b.i.d.) was prescribed in addition. Analyses of a blood sample revealed unusually high plasma concentrations of metoprolol (greater than 3000 ng/ml) and...",D003647|D008790|D004110|D013034|D011405,D018754|D007022|D054537|D012769|D003324|D064420,6,16,6
3693336,Triazolam-induced brief episodes of secondary mania in a depressed patient.,Large doses of triazolam repeatedly induced brief episodes of mania in a depressed elderly woman. Features of organic mental disorder (delirium) were not present. Manic excitement was coincident with the duration of action of triazolam. The possible contribution of the triazolo group to changes in affective status is discussed.,D014229,D003866|D001714|D003693|D019965,1,4,7
3780846,On the mechanisms of the development of tolerance to the muscular rigidity produced by morphine in rats.,The development of tolerance to the muscular rigidity produced by morphine was studied in rats. Saline-pretreated controls given a test dose of morphine (20 mg/kg i.p.) showed a pronounced rigidity recorded as tonic activity in the electromyogram. Rats treated for 11 days with morphine and withdrawn for 36-40 h showed differences in the development of tolerance: about half of the animals showed a rigidity after the test dose of morphine that was not significantly less than in the controls and we...,D006220|D009020,D009127|D018476|D006948,4,8,13
3800626,Compression neuropathy of the radial nerve due to pentazocine-induced fibrous myopathy.,"Fibrous myopathy is a common, well-known side effect of repeated pentazocine injection. However, compression neuropathy due to fibrotic muscle affected by pentazocine-induced myopathy has not previously been reported. In a 37-year-old woman with documented pentazocine-induced fibrous myopathy of triceps and deltoid muscles bilaterally and a three-week history of right wrist drop, electrodiagnostic examination showed a severe but partial lesion of the right radial nerve distal to the branches to ...",D010423,D020425|D009408|D005355|D009135|D009135|D009408|D020425,4,4,9
3827439,Recurrent reversible acute renal failure from amphotericin.,"A patient with cryptogenic cirrhosis and disseminated sporotrichosis developed acute renal failure immediately following the administration of amphotericin B on four separate occasions. The abruptness of the renal failure and its reversibility within days suggests that there was a functional component to the renal dysfunction. We propose that amphotericin, in the setting of reduced effective arterial volume, may activate tubuloglomerular feedback, thereby contributing to acute renal failure.",D000666,D005355|D007674|D013174|D058186|D051437,1,3,7
3997294,Pneumonitis with pleural and pericardial effusion and neuropathy during amiodarone therapy.,"A patient with sinuatrial disease and implanted pacemaker was treated with amiodarone (maximum dose 1000 mg, maintenance dose 800 mg daily) for 10 months, for control of supraventricular tachyarrhythmias. He developed pneumonitis, pleural and pericardial effusions, and a predominantly proximal motor neuropathy. Immediate but gradual improvement followed withdrawal of amiodarone and treatment with prednisolone. Review of this and previously reported cases indicates the need for early diagnosis of...",D000638|D011239|D013256,D009468|D010996|D010490|D011014|D010996|D010490|D002318|D013617|D009422,4,7,12
4071154,Indomethacin-induced renal insufficiency: recurrence on rechallenge.,"We have reported a case of acute oliguric renal failure with hyperkalemia in a patient with cirrhosis, ascites, and cor pulmonale after indomethacin therapy. Prompt restoration of renal function followed drug withdrawal, while re-exposure to a single dose of indomethacin caused recurrence of acute reversible oliguria. Our case supports the hypothesis that endogenous renal prostaglandins play a role in the maintenance of renal blood flow when circulating plasma volume is diminished. Since nonster...",D007213|D011453,D005355|D009846|D001201|D058186|D011660|D051437|D006947,6,4,8
6103707,Comparison of the subjective effects and plasma concentrations following oral and i.m. administration of flunitrazepam in volunteers.,"Flunitrazepam 0.5, 1.0 or 2.0 mg was given by the oral or i.m. routes to groups of volunteers and its effects compared. Plasma concentrations of the drug were estimated by gas-liquid chromatography, in a smaller number of the subjects. The most striking effect was sedation which increased with the dose, 2 mg producing deep sleep although the subjects could still be aroused. The effects of i.m. administration were apparent earlier and sometimes lasted longer than those following oral administrati...",D005445,D010146|D004244,2,3,2
6229975,Changes in heart size during long-term timolol treatment after myocardial infarction.,"The effect of long-term timolol treatment on heart size after myocardial infarction was evaluated by X-ray in a double-blind study including 241 patients (placebo 126, timolol 115). The follow-up period was 12 months. The timolol-treated patients showed a small but significant increase in heart size from baseline in contrast to a decrease in the placebo group. These differences may be caused by timolol-induced bradycardia and a compensatory increase in end-diastolic volume. The timolol-related i...",D013999,D001919|D009203|D007238|D006332,1,7,5
6286738,Vitamin D3 toxicity in dairy cows.,"Large parenteral doses of vitamin D3 (15 to 17.5 x 10(6) IU vitamin D3) were associated with prolonged hypercalcemia, hyperphosphatemia, and large increases of vitamin D3 and its metabolites in the blood plasma of nonlactating nonpregnant and pregnant Jersey cows. Calcium concentrations 1 day postpartum were higher in cows treated with vitamin D3 about 32 days prepartum (8.8 mg/100 ml) than in control cows (5.5 mg/100 ml). None of the cows treated with vitamin D3 showed signs of milk fever durin...",D002118|D002762,D010319|D064420|D006934|D054559,2,12,11
6287825,Diseases of peripheral nerves as seen in the Nigerian African.,"The anatomical and aetiological diagnoses of peripheral nerve disease excluding its primary benign and malignant disorders, as seen in 358 Nigerians are presented. There is a male preponderance and the peak incidence is in the fourth decade. Sensori-motor neuropathy was the commonest presentation (50%). Guillain-Barr   syndrome was the commonest identifiable cause (15.6%), accounting for half of the cases with motor neuropathy. Peripheral neuropathy due to nutritional deficiency of thiamine and ...",D013831|D012256|D007538,D020275|D008881|D010523|D044342|D003920|D003389|D009369|D003240|D009422,3,3,17
6386793,A double-blind study of the efficacy and safety of dothiepin hydrochloride in the treatment of major depressive disorder.,"In a 6-week double-blind parallel treatment study, dothiepin and amitriptyline were compared to placebo in the treatment of 33 depressed outpatients. Dothiepin and amitriptyline were equally effective in alleviating the symptoms of depressive illness, and both were significantly superior to placebo. The overall incidence of side effects and the frequency and severity of blurred vision, dry mouth, and drowsiness were significantly less with dothiepin than with amitriptyline. Dothiepin also produc...",D004308|D000639|D000928,D014786|D003866|D014987,2,11,6
6387529,Behavioral effects of diazepam and propranolol in patients with panic disorder and agoraphobia.,"The effects of oral doses of diazepam (single dose of 10 mg and a median dose of 30 mg/day for 2 weeks) and propranolol (single dose of 80 mg and a median dose of 240 mg/day for 2 weeks) on psychological performance of patients with panic disorders and agoraphobia were investigated in a double-blind, randomized and crossover design. Both drugs impaired immediate free recall but the decrease was greater for diazepam than propranolol. Delayed free recall was also impaired but the two drugs did not...",D011433|D003975,D000379|D016584|D008569|D001523,2,10,7
6692345,Effect of aspirin on N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide-induced epithelial proliferation in the urinary bladder and forestomach of the rat.,The co-administration of aspirin with N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide (FANFT) to rats resulted in a reduced incidence of FANFT-induced bladder carcinomas but a concomitant induction of forestomach tumors. An autoradiographic study was performed on male F-344 rats fed diet containing FANFT at a level of 0.2% and/or aspirin at a level of 0.5% to evaluate the effect of aspirin on the increased cell proliferation induced by FANFT in the forestomach and bladder. FANFT-induced cell proli...,D005200|D001241,D013274|D001749|D063646,2,18,3
6773726,Provocation of postural hypotension by nitroglycerin in diabetic autonomic neuropathy?,"The effect of nitroglycerin on heart rate and systolic blood pressure was compared in 5 normal subjects, 12 diabetic subjects without autonomic neuropathy, and 5 diabetic subjects with autonomic neuropathy. The magnitude and time course of the increase in heart rate and the decrease in systolic blood pressure after nitroglycerin were similar in the normal and diabetic subjects without autonomic neuropathy, whereas a lesser increase in heart rate and a greater decrease in systolic blood pressure ...",D005996,D007022|D009422|D003920|D003929,1,3,12
6888657,Characterization of estrogen-induced adenohypophyseal tumors in the Fischer 344 rat.,"Pituitary tumors were induced in F344 female rats by chronic treatment with diethylstilbestrol (DES, 8-10 mg) implanted subcutaneously in silastic capsules. Over a range of 1-150 days of DES treatment, pairs of control and DES-treated rats were sacrificed, and their pituitaries dissociated enzymatically into single-cell preparations. The cell populations were examined regarding total cell recovery correlated with gland weight, intracellular prolactin (PRL) content and subsequent release in prima...",D000167|D004967|D004054,D010911|D009369,1,11,3
7265370,Triamterene nephrolithiasis complicating dyazide therapy.,A case of triamterene nephrolithiasis is reported in a man after 4 years of hydrochlorothiazide-triamterene therapy for hypertension. The stone passed spontaneously and was found to contain a triamterene metabolite admixed with uric acid salts. Factors affecting triamterene nephrolithiasis are discussed and 2 previously reported cases are reviewed.,C020743|D014527|D012492|D014223,D006973|D053040,1,7,4
7423039,Metabolic involvement in adriamycin cardiotoxicity.,"The cardiotoxic effects of adriamycin were studied in mammalian myocardial cells in culture as a model system. Adriamycin inhibited cell growth and the rhythmic contractions characteristic of myocardial cells in culture. A possible involvement of energy metabolism was suggested previously, and in this study the adenylate energy charge and phosphorylcreatine mole fraction were determined in the adriamycin-treated cells. The adenylate energy charge was found to be significantly decreased, while th...",D010725|D000241|D000255|D003401|D004317,D066126,1,12,2
7444978,Age-dependent sensitivity of the rat to neurotoxic effects of streptomycin.,"Streptomycin sulfate (300 mg/kg s.c.) was injected for various periods into preweanling rats and for 3 weeks into weanling rats. Beginning at 8 days of age, body movement and hearing were examined for 6 and up to 17 weeks, respectively. Abnormal movements and deafness occurred only in rats treated during the preweaning period; within this period the greatest sensitivities for these abnormalities occurred from 2 to 11-17 and 5 to 11 days of age, respectively, indicating that the cochlea is more s...",D013307,D003638|D020258|D004409,2,3,4
7834920,Crescentic fibrillary glomerulonephritis associated with intermittent rifampin therapy for pulmonary tuberculosis.,"This case study reveals an unusual finding of rapidly proliferative crescentic glomerulonephritis in a patient treated with rifampin who had no other identifiable causes for developing this disease. This patient underwent a 10-month regimen of rifampin and isoniazid for pulmonary tuberculosis and was discovered to have developed signs of severe renal failure five weeks after completion of therapy. Renal biopsy revealed severe glomerulonephritis with crescents, electron dense fibrillar deposits a...",D007538|D012293,D005921|D014397|D051437,2,5,9
7881871,Time course of lipid peroxidation in puromycin aminonucleoside-induced nephropathy.,"Reactive oxygen species have been implicated in the pathogenesis of acute puromycin aminonucleoside (PAN)-induced nephropathy, with antioxidants significantly reducing the proteinuria. The temporal relationship between lipid peroxidation in the kidney and proteinuria was examined in this study. Rats were treated with a single IV injection of puromycin aminonucleoside, (PAN, 7.5 mg/kg) and 24 hour urine samples were obtained prior to sacrifice on days 3,5,7,10,17,27,41 (N = 5-10 per group). The k...",C029684|D011692|D010100,D011507|D007674,2,8,7
7930386,Clomipramine-induced sleep disturbance does not impair its prolactin-releasing action.,"The present study was undertaken to examine the role of sleep disturbance, induced by clomipramine administration, on the secretory rate of prolactin (PRL) in addition to the direct drug effect. Two groups of supine subjects were studied under placebo-controlled conditions, one during the night, when sleeping (n = 7) and the other at daytime, when awake (n = 6). Each subject received a single 50 mg dose of clomipramine given orally 2 hours before blood collection. Plasma PRL concentrations were ...",D002997,D012893,1,5,3
7988234,Angioedema following the intravenous administration of metoprolol.,"A 72-year-old woman was admitted to the hospital with ""flash"" pulmonary edema, preceded by chest pain, requiring intubation. Her medical history included coronary artery disease with previous myocardial infarctions, hypertension, and diabetes mellitus. A history of angioedema secondary to lisinopril therapy was elicited. Current medications did not include angiotensin-converting enzyme inhibitors or beta-blockers. She had no previous beta-blocking drug exposure. During the first day of hospitali...",D004155|D017706|D013256|D008790|D000809,D002637|D011654|D006973|D003920|D009203|D000799|D003324,2,6,10
8073369,Effect of coniine on the developing chick embryo.,"Coniine, an alkaloid from Conium maculatum (poison hemlock), has been shown to be teratogenic in livestock. The major teratogenic outcome is arthrogryposis, presumably due to nicotinic receptor blockade. However, coniine has failed to produce arthrogryposis in rats or mice and is only weakly teratogenic in rabbits. The purpose of this study was to evaluate and compare the effects of coniine and nicotine in the developing chick. Concentrations of coniine and nicotine sulfate were 0.015%, 0.03%, 0...",C007112|D009538,D009140|D001176|D002543,3,17,7
8302922,Epidural blood flow during prostaglandin E1 or trimethaphan induced hypotension.,"To evaluate the effect of prostaglandin E1 (PGE1) or trimethaphan (TMP) induced hypotension on epidural blood flow (EBF) during spinal surgery, EBF was measured using the heat clearance method in 30 patients who underwent postero-lateral interbody fusion under isoflurane anaesthesia. An initial dose of 0.1 microgram.kg-1.min-1 of PGE1 (15 patients), or 10 micrograms.kg-1.min-1 of TMP (15 patients) was administered intravenously after the dural opening and the dose was adjusted to maintain the me...",D000527|D007530|D014294,D007022,2,18,5
8410052,Immunohistochemical studies with antibodies to neurofilament proteins on axonal damage in experimental focal lesions in rat.,"Immunohistochemistry with monoclonal antibodies against neurofilament (NF) proteins of middle and high molecular weight class, NF-M and NF-H, was used to study axonal injury in the borderzone of focal lesions in rats. Focal injury in the cortex was produced by infusion of lactate at acid pH or by stab caused by needle insertion. Infarcts in substantia nigra pars reticulata were evoked by prolonged pilocarpine-induced status epilepticus. Immunohistochemical staining for NFs showed characteristic ...",D010862|D019344,D014947|D002544|D001480|D013226,3,2,7
8423889,Increase of Parkinson disability after fluoxetine medication.,Depression is a major clinical feature of Parkinson's disease. We report the increased amount of motor disability in four patients with idiopathic Parkinson's disease after exposure to the antidepressant fluoxetine. The possibility of a clinically relevant dopamine-antagonistic capacity of fluoxetine in Parkinson's disease patients must be considered.,D005473|D004298|D000928,D009069|D003866|D010300,1,5,6
8682684,Acetaminophen-induced hypotension.,"Through 30 years of widespread use, acetaminophen has been shown to be a remarkably safe medication in therapeutic dosages. The potential for acetaminophen to produce cardiovascular toxicities is very low. However, acetaminophen has been demonstrated to produce symptoms of anaphylaxis, including hypotension, in sensitive individuals. This article describes two critically ill patients in whom transient episodes of hypotension reproducibly developed after administration of acetaminophen. Other sym...",D000082,D007022|D000707|D016638|D002318|D004342,1,6,9
9625142,"Acute hepatitis, autoimmune hemolytic anemia, and erythroblastocytopenia induced by ceftriaxone.","An 80-yr-old man developed acute hepatitis shortly after ingesting oral ceftriaxone. Although the transaminases gradually returned to baseline after withholding the beta lactam antibiotic, there was a gradual increase in serum bilirubin and a decrease in hemoglobin concentration caused by an autoimmune hemolytic anemia and erythroblastocytopenia. These responded to systemic steroids and immunoglobulins. Despite the widespread use of these agents this triad of side effects has not previously been...",D001663|D013256|D002443|D047090,D056486|D000744,2,6,6
9766615,Adverse effects of the atypical antipsychotics. Collaborative Working Group on Clinical Trial Evaluations.,"Adverse effects of antipsychotics often lead to noncompliance. Thus, clinicians should address patients' concerns about adverse effects and attempt to choose medications that will improve their patients' quality of life as well as overall health. The side effect profiles of the atypical antipsychotics are more advantageous than those of the conventional neuroleptics. Conventional agents are associated with unwanted central nervous system effects, including extrapyramidal symptoms (EPS), tardive ...",D003024,D012735|D007024|D001480|D004409|D000380|D015430|D012640,1,2,11
10193204,Effects of tetrandrine and fangchinoline on experimental thrombosis in mice and human platelet aggregation.,"Tetrandrine (TET) and fangchinoline (FAN) are two naturally occurring analogues with a bisbenzylisoquinoline structure. The present study was undertaken to investigate the effects of TET and FAN on the experimental thrombosis induced by collagen plus epinephrine (EP) in mice, and platelet aggregation and blood coagulation in vitro. In the in vivo study, the administration (50 mg/kg, i.p.) of TET and FAN in mice showed the inhibition of thrombosis by 55% and 35%, respectively, while acetylsalicyl...",C060802|D004837|C009438|D044182|D001241,D001778|D001791|D013927,1,21,7
10526274,Gemcitabine plus vinorelbine in nonsmall cell lung carcinoma patients age 70 years or older or patients who cannot receive cisplatin. Oncopaz Cooperative Group.,"BACKGROUND: Although the prevalence of nonsmall cell lung carcinoma (NSCLC) is high among elderly patients, few data are available regarding the efficacy and toxicity of chemotherapy in this group of patients. Recent reports indicate that single agent therapy with vinorelbine (VNB) or gemcitabine (GEM) may obtain a response rate of 20-30% in elderly patients, with acceptable toxicity and improvement in symptoms and quality of life. In the current study the efficacy and toxicity of the combinatio...",C056507|D002945|C030852,D018805|D002289|D013921|D009503|D001855|D064420|D020258,6,15,19
10669626,Warfarin-induced artery calcification is accelerated by growth and vitamin D.,"The present studies demonstrate that growth and vitamin D treatment enhance the extent of artery calcification in rats given sufficient doses of Warfarin to inhibit gamma-carboxylation of matrix Gla protein, a calcification inhibitor known to be expressed by smooth muscle cells and macrophages in the artery wall. The first series of experiments examined the influence of age and growth status on artery calcification in Warfarin-treated rats. Treatment for 2 weeks with Warfarin caused massive foca...",D014812|D014859|D010710|D002118|D015055|D014807,D061205|D002114,1,36,24
11379838,Antidepressant-induced mania in bipolar patients: identification of risk factors.,BACKGROUND: Concerns about possible risks of switching to mania associated with antidepressants continue to interfere with the establishment of an optimal treatment paradigm for bipolar depression. METHOD: The response of 44 patients meeting DSM-IV criteria for bipolar disorder to naturalistic treatment was assessed for at least 6 weeks using the Montgomery-Asberg Depression Rating Scale and the Bech-Rafaelson Mania Rating Scale. Patients who experienced a manic or hypomanic switch were compared...,D008094|D000928|D017367,D001714,2,12,17
